0,0.000000,0.000000
1e-09,1.329787,0.332447
2e-09,1.778944,0.777183
3e-09,1.923581,0.925631
4e-09,1.977118,0.975175
5e-09,1.989748,0.991716
6e-09,1.999182,0.997233
7e-09,1.997133,0.999079
8e-09,2.001627,0.999690
9e-09,1.997970,0.999899
1e-08,2.001885,0.999964
1.1e-08,1.998076,0.999990
1.2e-08,2.001901,0.999994
1.3e-08,1.998102,1.000001
1.4e-08,2.001889,0.999998
1.5e-08,1.998118,1.000002
1.6e-08,2.001874,0.999998
1.7e-08,1.998133,1.000002
1.8e-08,2.001859,0.999998
1.9e-08,1.998148,1.000002
2e-08,2.001845,0.999998
2.1e-08,1.998163,1.000002
2.2e-08,2.001830,0.999998
2.3e-08,1.998177,1.000002
2.4e-08,2.001815,0.999998
2.5e-08,1.998192,1.000002
2.6e-08,2.001801,0.999998
2.7e-08,1.998206,1.000002
2.8e-08,2.001786,0.999998
2.9e-08,1.998221,1.000002
3e-08,2.001772,0.999998
3.1e-08,1.998235,1.000002
3.2e-08,2.001758,0.999998
3.3e-08,1.998249,1.000002
3.4e-08,2.001744,0.999998
3.5e-08,1.998263,1.000002
3.6e-08,2.001730,0.999998
3.7e-08,1.998277,1.000002
3.8e-08,2.001717,0.999998
3.9e-08,1.998290,1.000002
4e-08,2.001703,0.999998
4.1e-08,1.998304,1.000002
4.2e-08,2.001689,0.999998
4.3e-08,1.998317,1.000002
4.4e-08,2.001676,0.999998
4.5e-08,1.998331,1.000002
4.6e-08,2.001663,0.999998
4.7e-08,1.998344,1.000002
4.8e-08,2.001649,0.999998
4.9e-08,1.998357,1.000002
5e-08,2.001636,0.999998
